Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1144937,-,-,-,38.89,-77.02,-5,26,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky GHI,Dew Point,Surface Albedo,Wind Speed,Relative Humidity,Temperature,Pressure,
2018,1,1,0,0,0,0,0,0,-14,0.12,2.5,72.37,-10,1028,N/A
2018,1,1,0,30,0,0,0,0,-14,0.12,2.5,73.52,-10.200000000000001,1028,N/A
2018,1,1,1,0,0,0,0,0,-13.9,0.12,2.5,74.87,-10.3,1029,N/A
2018,1,1,1,30,0,0,0,0,-13.9,0.12,2.6,74.87,-10.3,1029,N/A
2018,1,1,2,0,0,0,0,0,-13.8,0.12,2.7,75.8,-10.4,1029,N/A
2018,1,1,2,30,0,0,0,0,-13.8,0.12,2.8000000000000003,76.4,-10.5,1029,N/A
2018,1,1,3,0,0,0,0,0,-13.9,0.12,2.9000000000000004,76.15,-10.5,1029,N/A
2018,1,1,3,30,0,0,0,0,-13.9,0.12,2.9000000000000004,76.15,-10.5,1029,N/A
2018,1,1,4,0,0,0,0,0,-14.200000000000001,0.12,2.9000000000000004,75.10000000000001,-10.600000000000001,1029,N/A
2018,1,1,4,30,0,0,0,0,-14.100000000000001,0.12,2.7,75.77,-10.700000000000001,1030,N/A
2018,1,1,5,0,0,0,0,0,-14.4,0.12,2.6,74.98,-10.8,1030,N/A
2018,1,1,5,30,0,0,0,0,-14.4,0.12,2.3000000000000003,75.58,-10.9,1030,N/A
2018,1,1,6,0,0,0,0,0,-14.5,0.12,2.1,75.7,-11.100000000000001,1030,N/A
2018,1,1,6,30,0,0,0,0,-14.5,0.12,2,75.7,-11.100000000000001,1030,N/A
2018,1,1,7,0,0,0,0,0,-14.600000000000001,0.12,1.9000000000000001,75.78,-11.200000000000001,1031,N/A
